date,temperature,dewpoint,humidity,pressure,visibility,windspeed,precipitation,rain,winddirection
2004-03-20,12.0,6.0,63.0,1030,10.0,5,0.0,0,282
2004-03-21,13.0,4.0,63.0,1024,7.0,5,0.0,0,348
2004-03-22,9.0,-2.0,46.0,1024,10.0,11,0.0,0,4
2004-03-23,7.0,-3.0,46.0,1021,10.0,10,0.0,0,317
2004-03-24,7.0,2.0,67.0,1014,10.0,11,0.0,1,13
2004-03-25,6.0,-6.0,44.0,1014,10.0,16,0.0,0,45
2004-03-26,4.0,-2.0,63.0,1009,10.0,14,0.0,1,79
2004-03-27,3.0,0.0,78.0,1008,9.0,11,0.0,1,34
2004-03-28,3.0,2.0,89.0,1007,7.0,16,0.0,1,12
2004-03-29,7.0,4.0,86.0,1003,9.0,14,0.0,1,3
2004-03-30,8.0,6.0,87.0,1004,9.0,13,0.0,1,275
2004-03-31,9.0,4.0,74.0,1011,10.0,19,0.0,1,230
2004-04-01,8.0,4.0,81.0,1008,10.0,14,0.0,1,183
2004-04-02,7.0,3.0,77.0,1014,10.0,13,0.0,1,227
2004-04-03,8.0,4.0,74.0,1027,10.0,13,0.0,0,204
2004-04-04,11.0,6.0,74.0,1028,10.0,3,0.0,0,22
2004-04-05,13.0,6.0,66.0,1024,10.0,5,0.0,0,325
2004-04-06,13.0,4.0,60.0,1018,10.0,6,0.0,0,324
2004-04-07,12.0,4.0,60.0,1013,10.0,3,0.0,0,36
2004-04-08,11.0,3.0,59.0,1010,10.0,13,0.0,1,43
2004-04-09,6.0,-3.0,50.0,1011,10.0,18,0.0,0,31
2004-04-10,6.0,-3.0,57.0,1013,10.0,14,0.0,1,23
2004-04-11,7.0,-2.0,54.0,1016,10.0,11,0.0,0,22
2004-04-12,8.0,0.0,57.0,1020,10.0,13,0.0,0,8
2004-04-13,8.0,-1.0,55.0,1021,10.0,10,0.0,0,46
2004-04-14,8.0,-1.0,54.0,1016,10.0,11,0.0,0,24
2004-04-15,11.0,2.0,59.0,1012,10.0,6,0.0,1,43
2004-04-16,13.0,7.0,72.0,1007,10.0,5,0.0,1,355
2004-04-17,10.0,5.0,74.0,1011,10.0,14,0.0,0,231
2004-04-18,10.0,3.0,66.0,1007,10.0,21,0.0,0,249
2004-04-19,10.0,-1.0,48.0,1011,10.0,27,0.0,0,277
2004-04-20,11.0,6.0,68.0,1016,10.0,21,0.0,0,219
2004-04-21,13.0,7.0,69.0,1015,10.0,5,0.0,0,230
2004-04-22,11.0,3.0,59.0,1017,10.0,16,0.0,1,316
2004-04-23,12.0,3.0,55.0,1020,10.0,8,0.0,0,40
2004-04-24,14.0,4.0,54.0,1018,10.0,5,0.0,0,2
2004-04-25,16.0,3.0,48.0,1016,10.0,5,0.0,0,4
2004-04-26,17.0,6.0,49.0,1014,10.0,6,0.0,0,225
2004-04-27,17.0,7.0,55.0,1010,10.0,6,0.0,0,35
